"min_sigma","max_sigma","threshold","overlap","TP","FP","FN","Precision","Sensitivity","F1"
20,36,0.025,0.3,34,34,506,0.5,0.062962962962963,0.111842105263158
22,36,0.025,0.3,34,28,506,0.548387096774194,0.062962962962963,0.112956810631229
24,36,0.025,0.3,34,26,506,0.566666666666667,0.062962962962963,0.113333333333333
26,36,0.025,0.3,33,25,507,0.568965517241379,0.0611111111111111,0.110367892976589
28,36,0.025,0.3,32,23,508,0.581818181818182,0.0592592592592593,0.107563025210084
20,38,0.025,0.3,36,34,504,0.514285714285714,0.0666666666666667,0.118032786885246
22,38,0.025,0.3,37,27,503,0.578125,0.0685185185185185,0.122516556291391
24,38,0.025,0.3,32,23,508,0.581818181818182,0.0592592592592593,0.107563025210084
26,38,0.025,0.3,35,28,505,0.555555555555556,0.0648148148148148,0.116086235489221
28,38,0.025,0.3,30,18,510,0.625,0.0555555555555556,0.102040816326531
20,40,0.025,0.3,33,31,507,0.515625,0.0611111111111111,0.109271523178808
22,40,0.025,0.3,38,31,502,0.550724637681159,0.0703703703703704,0.124794745484401
24,40,0.025,0.3,33,23,507,0.589285714285714,0.0611111111111111,0.110738255033557
26,40,0.025,0.3,35,25,505,0.583333333333333,0.0648148148148148,0.116666666666667
28,40,0.025,0.3,35,23,505,0.603448275862069,0.0648148148148148,0.117056856187291
20,32,0.03,0.3,5,10,535,0.333333333333333,0.00925925925925926,0.018018018018018
22,32,0.03,0.3,5,10,535,0.333333333333333,0.00925925925925926,0.018018018018018
24,32,0.03,0.3,5,11,535,0.3125,0.00925925925925926,0.0179856115107914
26,32,0.03,0.3,4,8,536,0.333333333333333,0.00740740740740741,0.0144927536231884
28,32,0.03,0.3,4,8,536,0.333333333333333,0.00740740740740741,0.0144927536231884
20,34,0.03,0.3,7,10,533,0.411764705882353,0.012962962962963,0.0251346499102334
22,34,0.03,0.3,7,10,533,0.411764705882353,0.012962962962963,0.0251346499102334
24,34,0.03,0.3,7,10,533,0.411764705882353,0.012962962962963,0.0251346499102334
26,34,0.03,0.3,6,7,534,0.461538461538462,0.0111111111111111,0.0216998191681736
28,34,0.03,0.3,6,8,534,0.428571428571429,0.0111111111111111,0.0216606498194946
20,36,0.03,0.3,9,9,531,0.5,0.0166666666666667,0.032258064516129
22,36,0.03,0.3,9,10,531,0.473684210526316,0.0166666666666667,0.0322003577817531
24,36,0.03,0.3,9,11,531,0.45,0.0166666666666667,0.0321428571428571
26,36,0.03,0.3,8,8,532,0.5,0.0148148148148148,0.0287769784172662
28,36,0.03,0.3,8,7,532,0.533333333333333,0.0148148148148148,0.0288288288288288
20,38,0.03,0.3,10,11,530,0.476190476190476,0.0185185185185185,0.035650623885918
22,38,0.03,0.3,10,10,530,0.5,0.0185185185185185,0.0357142857142857
24,38,0.03,0.3,9,12,531,0.428571428571429,0.0166666666666667,0.0320855614973262
26,38,0.03,0.3,9,9,531,0.5,0.0166666666666667,0.032258064516129
28,38,0.03,0.3,8,9,532,0.470588235294118,0.0148148148148148,0.0287253141831239
20,40,0.03,0.3,10,9,530,0.526315789473684,0.0185185185185185,0.035778175313059
22,40,0.03,0.3,11,11,529,0.5,0.0203703703703704,0.0391459074733096
24,40,0.03,0.3,10,11,530,0.476190476190476,0.0185185185185185,0.035650623885918
26,40,0.03,0.3,9,8,531,0.529411764705882,0.0166666666666667,0.0323159784560144
28,40,0.03,0.3,10,8,530,0.555555555555556,0.0185185185185185,0.03584229390681
20,32,0.005,0.4,391,3348,149,0.104573415351698,0.724074074074074,0.182752979668147
22,32,0.005,0.4,390,3092,150,0.11200459506031,0.722222222222222,0.193933366484336
24,32,0.005,0.4,386,3062,154,0.111948955916473,0.714814814814815,0.19358074222668
26,32,0.005,0.4,388,2889,152,0.118400976502899,0.718518518518519,0.203301021744826
28,32,0.005,0.4,386,2711,154,0.124636745237326,0.714814814814815,0.21226285400055
20,34,0.005,0.4,386,3183,154,0.108153544410199,0.714814814814815,0.187880262837673
22,34,0.005,0.4,389,3029,151,0.113809245172616,0.72037037037037,0.196563921172309
24,34,0.005,0.4,380,2820,160,0.11875,0.703703703703704,0.203208556149733
26,34,0.005,0.4,379,2771,161,0.12031746031746,0.701851851851852,0.205420054200542
28,34,0.005,0.4,382,2620,158,0.127248500999334,0.707407407407407,0.215697346132129
20,36,0.005,0.4,392,3168,148,0.110112359550562,0.725925925925926,0.191219512195122
22,36,0.005,0.4,392,2921,148,0.118321762752792,0.725925925925926,0.203477809499092
24,36,0.005,0.4,362,2756,178,0.116100064143682,0.67037037037037,0.197922361946419
26,36,0.005,0.4,368,2586,172,0.124576844955992,0.681481481481481,0.210646823125358
28,36,0.005,0.4,366,2569,174,0.124701873935264,0.677777777777778,0.210647482014388
20,38,0.005,0.4,405,3065,135,0.11671469740634,0.75,0.201995012468828
22,38,0.005,0.4,382,2919,158,0.115722508330809,0.707407407407407,0.198906534756574
24,38,0.005,0.4,362,2685,178,0.118805382343288,0.67037037037037,0.20183997769724
26,38,0.005,0.4,353,2538,187,0.122103078519543,0.653703703703704,0.205770912270475
28,38,0.005,0.4,347,2395,193,0.12654996353027,0.642592592592593,0.211456429006703
20,40,0.005,0.4,360,2855,180,0.111975116640746,0.666666666666667,0.191744340878828
22,40,0.005,0.4,391,2872,149,0.119828378792522,0.724074074074074,0.205627136471207
24,40,0.005,0.4,364,2717,176,0.118143459915612,0.674074074074074,0.20104943385805
26,40,0.005,0.4,336,2490,204,0.118895966029724,0.622222222222222,0.199643493761141
28,40,0.005,0.4,319,2356,221,0.119252336448598,0.590740740740741,0.198444790046656
20,32,0.01,0.4,296,930,244,0.241435562805873,0.548148148148148,0.335220838052095
22,32,0.01,0.4,293,818,247,0.263726372637264,0.542592592592593,0.354936402180497
24,32,0.01,0.4,294,789,246,0.271468144044321,0.544444444444444,0.362292051756007
26,32,0.01,0.4,288,705,252,0.290030211480363,0.533333333333333,0.37573385518591
28,32,0.01,0.4,287,643,253,0.308602150537634,0.531481481481481,0.39047619047619
20,34,0.01,0.4,299,928,241,0.243683781581092,0.553703703703704,0.338426711941143
22,34,0.01,0.4,299,823,241,0.266488413547237,0.553703703703704,0.359807460890493
24,34,0.01,0.4,298,735,242,0.288480154888674,0.551851851851852,0.378893833439288
26,34,0.01,0.4,292,716,248,0.28968253968254,0.540740740740741,0.377260981912145
28,34,0.01,0.4,289,638,251,0.31175836030205,0.535185185185185,0.394001363326517
20,36,0.01,0.4,311,949,229,0.246825396825397,0.575925925925926,0.345555555555556
22,36,0.01,0.4,307,829,233,0.270246478873239,0.568518518518519,0.366348448687351
24,36,0.01,0.4,301,747,239,0.287213740458015,0.557407407407407,0.379093198992443
26,36,0.01,0.4,296,679,244,0.303589743589744,0.548148148148148,0.390759075907591
28,36,0.01,0.4,288,675,252,0.299065420560748,0.533333333333333,0.383233532934132
20,38,0.01,0.4,319,910,221,0.259560618388934,0.590740740740741,0.360655737704918
22,38,0.01,0.4,314,838,226,0.272569444444444,0.581481481481481,0.371158392434988
24,38,0.01,0.4,309,737,231,0.295411089866157,0.572222222222222,0.389659520807062
26,38,0.01,0.4,302,674,238,0.309426229508197,0.559259259259259,0.398416886543536
28,38,0.01,0.4,294,611,246,0.324861878453039,0.544444444444444,0.406920415224913
